,"Momentum(AAPL,20d)","MeanReversion(AAPL,20d,z>1.0)","SMACross(AAPL,20/50)","RSI(AAPL,14d,buy<30)","BollingerBreakout(AAPL,20d,k=2.0)",BuyHold(AAPL),EqualWeight(SMA20>50),"InverseVol(SMA20>50,vol60d)",EW_Universe(passive),BM1_SMACross(20/50),"BM2_TopK_Mom(30d,K=10)","NEW1_TopKLongMomInvVol(L90,K8)","NEW2_RegimeMom(L60,K10,50/200)"
2022-02-09,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2022-02-10,976401.179941003,1000000.0,1000000.0,1000000.0,1000000.0,976401.179941003,987285.1645108978,983834.8664837718,981622.6143582232,987285.1645108978,989013.9835413109,968244.3264395264,1000000.0
2022-02-11,976401.179941003,1000000.0,1000000.0,1000000.0,1000000.0,956659.8593147265,982557.9116676567,980538.3608314884,957363.9794365608,982557.9116676567,983145.4787949561,943723.3907440807,1000000.0
2022-02-14,976401.179941003,1000000.0,1000000.0,1000000.0,1000000.0,958021.3297027455,973838.3611331986,972426.5074609092,954755.0727900575,973838.3611331986,977911.6434998569,935719.263658276,1000000.0
2022-02-15,976401.179941003,1000000.0,1000000.0,1000000.0,1000000.0,980201.9514408894,983081.5266320131,978084.294258519,980465.2250944473,983081.5266320131,995424.3775672141,967610.5016616402,1000000.0
2022-02-16,975044.9887077961,1000000.0,1000000.0,1000000.0,1000000.0,978840.4810528705,986538.3206595026,980397.3227522401,977248.2902116794,986538.3206595026,1007790.6633430365,971531.4342089635,1000000.0
2022-02-17,954306.5644333387,1000000.0,1000000.0,1000000.0,1000000.0,958021.3297027455,974509.497854845,970746.7263479707,949458.0273048916,974509.497854845,988700.8018574123,945183.7237594633,1000000.0
2022-02-18,945378.3054813925,1000000.0,1000000.0,1000000.0,1000000.0,949058.3163149535,968793.0671206546,968501.3023685566,937849.5401134737,968793.0671206546,968553.6575400026,934907.2020011547,1000000.0
2022-02-22,928538.9310024054,1000000.0,1000000.0,1000000.0,1000000.0,932153.3923303834,959692.4999770749,962138.3630217568,927464.9205202702,959692.4999770749,956246.5998993913,925350.3509145201,1000000.0
2022-02-23,904523.0445810311,974135.8325219085,1000000.0,1000000.0,1000000.0,908044.0208758792,951503.1493679697,953641.0156699298,906159.2483048575,951503.1493679697,941145.6418668609,910357.3745543563,1000000.0
2022-02-24,919610.6720504592,990384.6153846155,1000000.0,1016680.2024114451,1000000.0,923190.3789425914,941332.2455618143,942105.3602153305,936752.0275115394,941332.2455618143,937942.1035275284,920452.5217608499,1000000.0
2022-02-25,931533.8533090708,1003225.4138266797,1000000.0,1029861.9354032611,1000000.0,935159.9727705922,961112.8608779149,963011.1904518186,951756.5873572357,961112.8608779149,959222.0651174351,935959.6183446036,1000000.0
2022-02-28,933059.5684464287,1004868.5491723467,1000000.0,1031548.6974448679,1000000.0,936691.6269571137,950509.9323926746,952462.1382068667,954584.8331988588,950509.9323926746,960266.8951368367,936589.6717205145,1000000.0
2022-03-01,933059.5684464287,993184.0311587147,1000000.0,1019553.9451489974,1000000.0,925799.8638529611,934887.781400953,936843.7004692333,942276.4040394756,934887.781400953,948649.8492679087,917521.922646819,1000000.0
2022-03-02,933059.5684464287,1013631.9376825707,1000000.0,1040544.7616667709,1000000.0,944860.449285228,958911.6745430533,959230.2111754065,960048.0368506532,958911.6745430533,961544.1970998711,950392.9471442547,1000000.0
2022-03-03,933059.5684464287,1013631.9376825707,1000000.0,1038483.163615918,1000000.0,942988.4275017017,946445.5676202037,953052.0828977452,946483.9529507204,946445.5676202037,935947.2331411149,942895.288942139,1000000.0
2022-03-04,933059.5684464287,1013631.9376825707,1000000.0,1019366.5271443743,1000000.0,925629.6800544588,937406.1009632329,947739.7408679787,932099.9606250537,937406.1009632329,923341.4415046517,946325.627483294,1000000.0
2022-03-07,933059.5684464287,989591.0257573912,1000000.0,995189.6045480104,1000000.0,903675.9700476516,900531.5631528179,917026.67471455,896554.5878587111,900531.5631528179,897304.2690964054,929128.6987226469,1000000.0
2022-03-08,933059.5684464287,978036.4789406381,1000000.0,983569.6882613857,1000000.0,893124.5745405038,899841.9856147773,914259.5403506652,891859.0423991706,899841.9856147773,875053.9856594068,914265.3854110355,1000000.0
2022-03-09,933059.5684464287,1012265.2708547827,1000000.0,1017992.1284438059,1000000.0,924381.6655321079,921384.0350121048,928478.3172326699,923620.9386547782,921384.0350121048,884995.3873337823,914858.6160852587,1000000.0
2022-03-10,933059.5684464287,1012265.2708547827,1000000.0,990316.736427813,1000000.0,899251.1912865896,927602.3263135204,934478.9651783423,913384.4007864211,927602.3263135204,881322.4310460977,923102.7483971927,1000000.0
2022-03-11,933059.5684464287,988063.3696654082,1000000.0,966639.59517711,1000000.0,877751.3047424551,912144.1006511188,924744.8359569293,894807.2827185284,912144.1006511188,854661.9795947091,917358.913731073,1000000.0
2022-03-14,933059.5684464287,961818.0361856382,1000000.0,940963.3285437622,1000000.0,854436.1243476288,902404.6428450904,920748.1913042191,877604.5709235602,902404.6428450904,833257.5308858423,906066.1041353128,1000000.0
2022-03-15,933059.5684464287,990362.2309921033,1000000.0,968888.6112325859,1000000.0,879793.5103244839,918850.5264170212,936270.295949635,902318.1115759573,918850.5264170212,848959.6990705417,913888.0569603072,1000000.0
2022-03-16,933059.5684464287,1019097.9975757933,1000000.0,997001.3119260324,1000000.0,905321.0800998411,935930.2290381006,947622.5743692997,941219.0408353305,935930.2290381006,862217.2690247049,913615.5274400603,1000000.0
2022-03-17,933059.5684464287,1019097.9975757933,1000000.0,1003435.9967514214,1000000.0,911164.0571817564,955720.8495325854,962092.2073777898,956099.3880491433,955720.8495325854,875737.5680208871,924556.1006154853,1000000.0
2022-03-18,933059.5684464287,1019097.9975757933,1000000.0,1024426.8132691947,1000000.0,930224.6426140231,963380.3970384676,965120.6139897025,976191.6940917798,963380.3970384676,890692.1035247507,924016.9016626898,1000000.0
2022-03-21,933059.5684464287,1019097.9975757933,1000000.0,1033172.986818267,1000000.0,938166.553210801,962828.2668968576,965034.7097731541,967503.2702483241,962828.2668968576,881468.9873551016,930873.2452433791,1000000.0
2022-03-22,933059.5684464287,1019097.9975757933,1000000.0,1054663.5846817018,1000000.0,957680.9621057408,973636.7403630479,972645.3829936057,984842.5373220191,973636.7403630479,902254.9667459651,936676.4867126405,1000000.0
2022-03-23,940742.0278715001,1019097.9975757933,1000000.0,1063347.2855625665,1000000.0,965566.1447696846,965762.7073496077,964680.3057047536,969394.0745407963,965762.7073496077,899808.9947440319,938079.5351519214,1000000.0
2022-03-24,962076.0518864462,1019097.9975757933,1000000.0,1087461.7354907228,1000000.0,987463.1268436578,984329.3259624223,978880.9743696679,989304.7778133719,984329.3259624223,918415.9249394633,949188.4441681546,1000000.0
2022-03-25,965668.5688837818,1019097.9975757933,1000000.0,1091522.4589242206,1003734.1299477222,991150.4424778761,983518.002466156,981029.6788403683,985812.9550138293,983518.002466156,919683.3662099902,956062.171666612,1000000.0
2022-03-28,970532.2842032514,1019097.9975757933,1000000.0,1097020.0537264948,1008789.5674154076,996142.5005672793,994714.1821347438,990541.221375148,999126.6087807016,994714.1821347438,929177.5327066897,953846.0036043602,1000000.0
2022-03-29,989102.8336048626,1019097.9975757933,1000000.0,1097020.0537264948,1028092.1468374792,1015203.0859995462,1008644.4078412446,1003214.5624874898,1019861.8197875215,1008644.4078412446,944182.7341299019,959200.7729886322,1000000.0
2022-03-30,982525.7640251253,1019097.9975757933,1000000.0,1097020.0537264948,1021255.8166254956,1008452.461992285,1004371.5437220901,1002650.4561252161,1006717.399658898,1004371.5437220901,929943.6749583953,959296.7982583502,1000000.0
2022-03-31,965060.6044688481,1019097.9975757933,1000000.0,1097020.0537264948,1003102.2002642616,990526.4352167008,997002.4169336152,996253.4575953073,994777.123832265,997002.4169336152,921113.8736735651,956632.0862557645,1000000.0
2022-04-01,963402.5197008471,1019097.9975757933,1000000.0,1097020.0537264948,1001378.7556730051,988824.5972316769,999791.84549084,999465.2735050227,996905.2038566077,999791.84549084,933417.2026135147,964203.0803232165,1000000.0
